title,release_date,year,tmdb_id,overview,original_language,genre_ids,poster_path,poster_url,backdrop_path,backdrop_url,rating,no_of_persons_voted,popularity,adult
Roadie (Or The Inevitable and Ridiculous Fall of Danny And The Renaissances),2027-03-31,2027,1636411,"Coen, an unpaid roadie financed solely by his belief in a quixotic guitarist, Danny, has his commitment strained to the elastic limit when the visionary continues to fail. Complicating things even more, he meets a bemusing young pregnant woman, Veronica, whose pursuit of happiness makes him question his own fulfillment and values.",en,35,,,,,0.0,0,0.2166,False
Wings of Freedom,2027-04-07,2027,1208917,"Home-loving eagle Salana is forced out of her jungle bird colony to join Pirro, an intrepid swift and member of the Animal Air Force. This unlikely duo embarks on an epic, high-flying adventure to stop a malevolent AI and save the world.",en,"16,12,10751",,,,,0.0,0,0.8821,False
Before the Silence,2027-04-09,2027,1615504,"Three brothers uncover a dark secret in their bay, revealing their father’s violent past as family bonds fracture and danger closes in around them.",en,"18,27,80",/sjIauzvI6o1wpQJj0fQau6z4B8J.jpg,https://image.tmdb.org/t/p/w500/sjIauzvI6o1wpQJj0fQau6z4B8J.jpg,/nuZTj5cpyBZASCKkPRdbgox7vZy.jpg,https://image.tmdb.org/t/p/w500/nuZTj5cpyBZASCKkPRdbgox7vZy.jpg,0.0,0,0.0339,False
Get Lite,2027-04-09,2027,1263022,"Saunders, a headstrong Bronx teenager, is caught between his love of Litefeet subway dancing and his strict's insistence on becoming an engineer.",en,18,,,,,0.0,0,0.7632,False
The 08' Club,2027-04-17,2027,1655014,"Dick Negroni begins as a composed bartender at the '08 Club who trades his mixing tins for a life of crime after catching the eye of the powerful mob boss Don Gog. Alongside his volatile partners, Dick must navigate a treacherous path of betrayal and escalating madness where the line between professional ""cleanup"" and total lunacy begins to blur.",en,,/mH0zj2zFGDyBVimYJ0QpM9Av0qR.jpg,https://image.tmdb.org/t/p/w500/mH0zj2zFGDyBVimYJ0QpM9Av0qR.jpg,,,0.0,0,0.0802,False
F.A.S.T.,2027-04-22,2027,556682,"A former special forces commando, down on his luck after returning Stateside, is recruited by the DEA to lead a covert black ops team to take down CIA-protected drug dealers.",en,"53,28,80",,,,,0.0,0,1.5803,False
Spaceballs 2,2027-04-23,2027,1306322,"Described as ""a non-prequel non-reboot sequel part two but with reboot elements franchise expansion film"". Plot TBA.",en,"35,878",/vFtJ1rlBwdIwdzvURN1LDqnpHbT.jpg,https://image.tmdb.org/t/p/w500/vFtJ1rlBwdIwdzvURN1LDqnpHbT.jpg,/6dOmk6RoedeTSelTj2b473xThZH.jpg,https://image.tmdb.org/t/p/w500/6dOmk6RoedeTSelTj2b473xThZH.jpg,0.0,0,2.263,False
Thomas,2027-04-30,2027,1589027,In development.,en,"28,12,878",/aU5NibbctLSKpgPHjAFahFvRBiS.jpg,https://image.tmdb.org/t/p/w500/aU5NibbctLSKpgPHjAFahFvRBiS.jpg,,,0.0,0,0.0429,False
Drodwel,2027-05-05,2027,1609866,Paramedic-for-hire Drodwel and his robot companion Surly race through the sunset city in hope of saving the life of an injured revolutionary.,en,"16,28,878",/ffR1iQibhEk17RPB86D0q5GYAVk.jpg,https://image.tmdb.org/t/p/w500/ffR1iQibhEk17RPB86D0q5GYAVk.jpg,/s0UqEMEe9FCC8o8yhjk7M1hDmTg.jpg,https://image.tmdb.org/t/p/w500/s0UqEMEe9FCC8o8yhjk7M1hDmTg.jpg,0.0,0,0.0849,False
The Legend of Zelda,2027-05-05,2027,1177369,A live-action adaptation of the Legend of Zelda video game series.,en,"28,12,14",/obcEXMMrwSRIloR77egWSwOjZM2.jpg,https://image.tmdb.org/t/p/w500/obcEXMMrwSRIloR77egWSwOjZM2.jpg,/7iHZruybsGB7g9vrm9eeypzmpV1.jpg,https://image.tmdb.org/t/p/w500/7iHZruybsGB7g9vrm9eeypzmpV1.jpg,0.0,0,1.4212,False
The Resurrection of the Christ: Part Two,2027-05-06,2027,1212489,The second part of a two-part sequel to The Passion of the Christ. Plot TBA.,en,18,/qx3QVH1eVqtrdvL1dndXPhCktLq.jpg,https://image.tmdb.org/t/p/w500/qx3QVH1eVqtrdvL1dndXPhCktLq.jpg,,,0.0,0,1.9535,False
THE REWIND,2027-05-15,2027,1228670,"The Rewind is a time-travel action movie about a man, Russel, who wakes up one day to discover that he is in a world where time plays in reverse except for him. As he tries to figure out what happened, he realizes that someone has stolen a watch that messes up time and reality. He teams up with a group of people to try to find the person who stole the watch and fix time. Along the way, he discovers the past and has to come to terms with his life and relationships.",en,"28,878,10749,53,18",,,,,0.0,0,0.2047,False
Paranormal Activity 8,2027-05-20,2027,1592452,"The eighth installment of the saga. Set in the 1990s, the story returns to the roots of evil to reveal the secrets hidden behind the fire at Katie and Kristi’s house, and the dark bond that would mark Hunter’s destiny forever",en,"27,9648",/5qwFilGZbYaXHLG4I1Kp82bwbGL.jpg,https://image.tmdb.org/t/p/w500/5qwFilGZbYaXHLG4I1Kp82bwbGL.jpg,,,0.0,0,1.4805,False
