year_film,film,tomatometer_rating,audience_rating,rt_release_month,rt_url,poster_url
2012,Lincoln,89.0,80.0,,https://www.rottentomatoes.com/m/lincoln_2011,https://resizing.flixster.com/l3Wo9iTyQ0Z4F9TJBRZSBRe7ZEU=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzMwMDkyOGZjLTE2ZDAtNGM4My05YjQwLTI1NDc3NmFjOGRlMC5qcGc=
2012,Silver Linings Playbook,92.0,86.0,,https://www.rottentomatoes.com/m/silver_linings_playbook,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/NowShowing/118336/118336_aa.jpg
2012,Zero Dark Thirty,91.0,80.0,,https://www.rottentomatoes.com/m/zero_dark_thirty,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p9400738_p_v8_az.jpg
2013,12 Years a Slave,95.0,90.0,,https://www.rottentomatoes.com/m/12_years_a_slave,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p10029562_p_v10_ac.jpg
2013,American Hustle,92.0,74.0,,https://www.rottentomatoes.com/m/american_hustle,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p10016553_p_v10_al.jpg
2013,Captain Phillips,93.0,89.0,,https://www.rottentomatoes.com/m/captain_phillips,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p9968629_p_v8_au.jpg
2013,Dallas Buyers Club,92.0,91.0,,https://www.rottentomatoes.com/m/dallas_buyers_club,https://resizing.flixster.com/72_81psbYL7_h-NdYzz7P8nSYxg=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2QxYWM4N2M4LTc1MDUtNGIyMi05MWI2LWNhMWNjYWQ4MzAzNS5qcGc=
2013,Gravity,96.0,79.0,,https://www.rottentomatoes.com/m/gravity_2013,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p9248657_p_v8_ak.jpg
2013,Her,95.0,82.0,,https://www.rottentomatoes.com/m/her,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p9991186_p_v10_ag.jpg
2013,Nebraska,90.0,83.0,,https://www.rottentomatoes.com/m/nebraska,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p9991634_p_v12_ac.jpg
2013,Philomena,91.0,89.0,,https://www.rottentomatoes.com/m/philomena,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p10197066_p_v13_ap.jpg
2013,The Wolf of Wall Street,79.0,83.0,,https://www.rottentomatoes.com/m/the_wolf_of_wall_street_2013,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p9991602_p_v12_aj.jpg
2014,American Sniper,71.0,84.0,,https://www.rottentomatoes.com/m/american_sniper,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p10991238_p_v8_ay.jpg
2014,Birdman or (The Unexpected Virtue of Ignorance),91.0,78.0,,https://www.rottentomatoes.com/m/birdman_2014,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p10726435_p_v8_am.jpg
2014,Boyhood,97.0,80.0,,https://www.rottentomatoes.com/m/boyhood,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p10673530_p_v8_aa.jpg
2014,Selma,99.0,86.0,,https://www.rottentomatoes.com/m/selma,https://resizing.flixster.com/Lk4Rbo-fk3X7QMms30fcwVyFAFg=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2I4YWYyNTM4LTlkZTAtNDA0NS05OTRhLWFmYWNlZGQ1Y2RiYS53ZWJw
2014,The Grand Budapest Hotel,92.0,87.0,,https://www.rottentomatoes.com/m/the_grand_budapest_hotel,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p10295153_p_v8_at.jpg
2014,The Imitation Game,90.0,91.0,,https://www.rottentomatoes.com/m/the_imitation_game,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p10771057_p_v12_av.jpg
2014,The Theory of Everything,81.0,84.0,,https://www.rottentomatoes.com/m/the_theory_of_everything_2014,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p10704182_p_v10_ae.jpg
2014,Whiplash,94.0,94.0,,https://www.rottentomatoes.com/m/whiplash_2014,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p10488558_p_v12_ai.jpg
2015,Bridge of Spies,91.0,87.0,10.0,https://www.rottentomatoes.com/m/bridge_of_spies,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p11819886_p_v13_ap.jpg
2015,Brooklyn,97.0,87.0,11.0,https://www.rottentomatoes.com/m/brooklyn,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p11436766_p_v8_ak.jpg
2015,Mad Max: Fury Road,97.0,86.0,5.0,https://www.rottentomatoes.com/m/mad_max_fury_road,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p10854488_p_v8_ac.jpg
2015,Room,93.0,93.0,10.0,https://www.rottentomatoes.com/m/room_2015,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p12008673_p_v8_ad.jpg
2015,Spotlight,97.0,93.0,11.0,https://www.rottentomatoes.com/m/spotlight_2015,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p11897076_p_v7_an.jpg
2015,The Big Short,89.0,88.0,12.0,https://www.rottentomatoes.com/m/the_big_short,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p12157971_p_v13_al.jpg
2015,The Martian,91.0,91.0,10.0,https://www.rottentomatoes.com/m/the_martian,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p10980706_p_v13_ar.jpg
2015,The Revenant,78.0,84.0,12.0,https://www.rottentomatoes.com/m/the_revenant_2015,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p11598208_p_v13_bh.jpg
2016,Arrival,94.0,83.0,11.0,https://www.rottentomatoes.com/m/arrival_2016,https://resizing.flixster.com/owvDIZEFYCeWRHjrtw8LsmTaFzg=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzBlNjgwNTY3LTgzZGUtNDBkYi05MmRjLTVjZTY2ZmM5YWIxMi53ZWJw
2016,Fences,92.0,75.0,12.0,https://www.rottentomatoes.com/m/fences_2016,https://resizing.flixster.com/-b7TI-omXiLqXUnDDldxKBxmb4U=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzEwYmJkMDRiLTU5MjgtNDIxYy1hZDhiLWE4MTY3NTNhZWU3Ny53ZWJw
2016,Hacksaw Ridge,84.0,92.0,11.0,https://www.rottentomatoes.com/m/hacksaw_ridge,https://resizing.flixster.com/fqHoVM9U_V4nCyJ2011Tjmrw-Bk=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzM3MGVkZTFlLTZmNWMtNDgwYS04NjFlLTg3OWE3OWU5MDk2YS53ZWJw
2016,Hell or High Water,97.0,89.0,8.0,https://www.rottentomatoes.com/m/hell_or_high_water,https://resizing.flixster.com/W-yshypUyj6dWOsWnC_MXc0_zmc=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzBkZTQ2N2UyLTg1YjQtNDRjMS1hNTEyLTVlZmI2ZWE2YjI0Ny53ZWJw
2016,Hidden Figures,93.0,93.0,12.0,https://www.rottentomatoes.com/m/hidden_figures,https://resizing.flixster.com/CG6d3aZ2Fx_C-XzPoISZG2WC1TY=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzhjZGE3MTgzLTRlMTktNDQyZS04ODQzLWVhNDE5MWM5MmI0ZS53ZWJw
2016,La La Land,91.0,82.0,12.0,https://www.rottentomatoes.com/m/la_la_land,https://resizing.flixster.com/qrwaHhY7g8sv_HP3fH-zXwyFtME=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2U1ZDIyYTgzLWQxYjctNGY2MC1iNDRiLTYwZTBmOGEwOWM5Mi53ZWJw
