year_film,film,film_key,release_month,query,status,matched_title,matched_vanity,matched_release_year,tomatometer_rating,audience_rating,poster_url,rt_url,match_score,match_reason,rt_updated_at,fetched_at,error_message
2009,A Serious Man,a serious man,,A Serious Man,matched,A Serious Man,a_serious_man,2009,89,68,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p3531873_p_v8_as.jpg,https://www.rottentomatoes.com/m/a_serious_man,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-08T21:04:32.243Z,2026-04-10T00:05:42.712409+00:00,
2009,An Education,an education,,An Education,matched,An Education,an_education,2009,94,80,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p194062_p_v8_at.jpg,https://www.rottentomatoes.com/m/an_education,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-09T19:51:23.903Z,2026-04-10T00:05:42.712409+00:00,
2009,Avatar,avatar,,Avatar,matched,Avatar,avatar,2009,81,82,https://resizing.flixster.com/f0bXqQUdQ0m6fyqZjI1OXSEia9E=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzEzYmY3ZmZiLWMzYjEtNDQxMy05NTAxLTc2YTRlNmE3NWY2MC5qcGc=,https://www.rottentomatoes.com/m/avatar,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-09T02:11:14.876Z,2026-04-10T00:05:42.712409+00:00,
2009,District 9,district 9,,District 9,matched,District 9,district_9,2009,90,82,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p177953_p_v8_ae.jpg,https://www.rottentomatoes.com/m/district_9,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-09T20:35:36.006Z,2026-04-10T00:05:42.712409+00:00,
2009,Inglourious Basterds,inglourious basterds,,Inglourious Basterds,matched,Inglourious Basterds,inglourious_basterds,2009,89,88,https://resizing.flixster.com/DLemRBRXqF0CvvXioxFCWBG2suo=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzZkYWFiY2VjLTM2ODAtNGU2Yy05NDM2LTk3MGVlYjFlZjc1Yi53ZWJw,https://www.rottentomatoes.com/m/inglourious_basterds,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-09T01:22:43.043Z,2026-04-10T00:05:42.712409+00:00,
2009,Precious: Based on the Novel 'Push' by Sapphire,precious based on the novel push by sapphire,,Precious: Based on the Novel 'Push' by Sapphire,matched,"Precious: Based on the Novel ""Push"" by Sapphire",precious,2009,92,77,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p195165_p_v10_ae.jpg,https://www.rottentomatoes.com/m/precious,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-09T02:08:21.846Z,2026-04-10T00:05:42.712409+00:00,
2009,The Blind Side,the blind side,,The Blind Side,matched,The Blind Side,1212694-blind_side,2009,66,85,https://resizing.flixster.com/p5W6G-TGOMIivxUYWi9xa_z1wI0=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzlhMWUwOWI5LWI4ZTAtNGFhYS1hNzYzLWI2M2Q5Y2U1ODk4YS5qcGc=,https://www.rottentomatoes.com/m/1212694-blind_side,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-09T16:57:12.074Z,2026-04-10T00:05:42.712409+00:00,
2009,The Hurt Locker,the hurt locker,,The Hurt Locker,matched,The Hurt Locker,the_hurt_locker,2008,96,84,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p197175_p_v10_aa.jpg,https://www.rottentomatoes.com/m/the_hurt_locker,193,"ratio=1.00, exact-title, year-plus-one, main-title, has-score",2026-04-08T21:02:26.429Z,2026-04-10T00:05:42.712409+00:00,
2009,Up,up,,Up,matched,Up,up,2009,98,90,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p190662_p_v12_ay.jpg,https://www.rottentomatoes.com/m/up,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-09T01:18:45.011Z,2026-04-10T00:05:42.712409+00:00,
2009,Up in the Air,up in the air,,Up in the Air,matched,Up in the Air,up_in_the_air_2009,2009,90,79,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p3600392_p_v8_av.jpg,https://www.rottentomatoes.com/m/up_in_the_air_2009,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-08T21:02:59.164Z,2026-04-10T00:05:42.712409+00:00,
2010,127 Hours,127 hours,,127 Hours,matched,127 Hours,127_hours,2010,93,85,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8236871_p_v10_ba.jpg,https://www.rottentomatoes.com/m/127_hours,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-09T21:53:47.753Z,2026-04-10T00:05:42.712409+00:00,
2010,Black Swan,black swan,,Black Swan,matched,Black Swan,black_swan_2010,2010,85,84,https://resizing.flixster.com/reW7yr9NqiOyj8njHA-L6MWiTuY=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzUxMDk1OGJmLWU0ZjEtNGMwYS1iODMzLWY0YjAxOGI3NzA1Ni5qcGc=,https://www.rottentomatoes.com/m/black_swan_2010,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-09T15:44:55.080Z,2026-04-10T00:05:42.712409+00:00,
2010,Inception,inception,,Inception,matched,Inception,inception,2010,87,91,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p7825626_p_v10_ae.jpg,https://www.rottentomatoes.com/m/inception,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-09T01:46:13.253Z,2026-04-10T00:05:42.712409+00:00,
2010,The Fighter,the fighter,,The Fighter,matched,The Fighter,the_fighter_2011,2010,91,89,https://resizing.flixster.com/FQZs2ADoIKn9nM1CO4zpOqds_-A=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2RiNGI1ZmE5LTdmM2QtNGY4ZC04MjA5LTAzYTU5NmNjNDFlZi5qcGc=,https://www.rottentomatoes.com/m/the_fighter_2011,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-09T06:50:15.861Z,2026-04-10T00:05:42.712409+00:00,
2010,The Kids Are All Right,the kids are all right,,The Kids Are All Right,matched,The Kids Are All Right,10012141-kids_are_all_right,2010,93,74,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8020470_p_v8_ar.jpg,https://www.rottentomatoes.com/m/10012141-kids_are_all_right,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-09T11:51:49.961Z,2026-04-10T00:05:42.712409+00:00,
